"GeneID","CoefficientTraining"
"BFSP1",-5.53497447705791e-05
"STAT4",-5.53382663070057e-05
"ATP6V1H",-5.52833896345954e-05
"ILK",-5.52489139906514e-05
"ATG2B",-5.52243520101628e-05
"DYNC1LI2",-5.51452326936778e-05
"PUDP",-5.51394398213573e-05
"DAZAP1",-5.50622357273887e-05
"PDPR",-5.50205185927275e-05
"DHODH",-5.49812293357868e-05
"PIGZ",-5.48953158294052e-05
"VPS9D1",-5.47616051163658e-05
"KDM4D",-5.47457427762519e-05
"IPO9",-5.47412586191312e-05
"ORC2",-5.47046844927738e-05
"TTC26",-5.467275612522e-05
"RPL38",-5.46589268007672e-05
"TCAF1",-5.46493156376537e-05
"HCN2",-5.46448210658677e-05
"FRZB",-5.4554757718592e-05
"DEPDC5",-5.45198542201824e-05
"AP3S1",-5.45079250400466e-05
"PDE1C",-5.44999585554969e-05
"FGGY",-5.44849692689337e-05
"PPP1R2",-5.44727957408982e-05
"PLEKHA2",-5.43918311821321e-05
"PLXNA1",-5.43533036159785e-05
"CCDC181",-5.43505050212769e-05
"TNFRSF10B",-5.43285785839994e-05
"CYP27B1",-5.43210797873671e-05
"UGP2",-5.4312751340659e-05
"ACTR1A",-5.42874058740238e-05
"PSMD10",-5.41893512023367e-05
"LIG3",-5.41031506826341e-05
"RBPJ",-5.40666414070904e-05
"C6orf106",-5.40045733705571e-05
"NENF",-5.39835490093107e-05
"KANK1",-5.39489524112751e-05
"ZBTB38",-5.39392680670115e-05
"ERI2",-5.38231055656166e-05
"CYB5R2",-5.37220427497771e-05
"STAP1",-5.37138172776889e-05
"DLGAP4",-5.36692358412775e-05
"TNFSF8",-5.36462307678212e-05
"KDELR3",-5.35951523145338e-05
"EFCAB14",-5.35727984860536e-05
"SKAP2",-5.34344577369845e-05
"NARS2",-5.34150144546508e-05
"SEC16A",-5.34127778318055e-05
"MAD2L1",-5.33490732079154e-05
"TSR2",-5.33343917094995e-05
"SIVA1",-5.30889486767909e-05
"CETN3",-5.30755222498789e-05
"CDR2L",-5.30750051758933e-05
"ATG5",-5.30513845354947e-05
"TLE4",-5.3049184680993e-05
"NHLH1",-5.28592413731603e-05
"PACRG",-5.27294132154236e-05
