GeneID,CoefficientTraining
TSHZ3,-0.01684
SLAMF7,0.05852
PRMT1,-0.01898
CD19,0.01802
ARHGAP26,0.03237
LUC7L3,-0.02477
APLP2,0.01606
THEM4,-0.04255
BCL9,0.01159
RIOK1,-0.0397
MTMR3,0.02797
SLFN13,0.02783
ANXA2P1,0.02149
TFAM,-0.00891
FARSB,-0.06556
NDRG2,-0.00924
PUM1,0.02151
CERS6,-0.01595
PAPD7,0.01128
DDX46,-0.01148
TRIB1,0.03442
MICU1,0.00996
LIG1,0.02136
ZMYND15,-0.02548
LSM2,-0.02084
TSHZ2,0.19058
MIS12,-0.01078
EMR1,-0.00354
LPGAT1,0.05291
FHIT,0.0619
RPS6KB1,-0.01681
SUPT3H,-0.01283
CFLAR,0.03115
DDIT4L,0.02417
PLEKHB1,0.03341
CECR5,-0.0203
HELB,-0.0556
ILF3,0.00218
GOLGA8A,-0.02291
TPST2,-0.02194
DNAJC5,0.02532
AFG3L2,-0.02867
SALL2,0.00617
BLOC1S1,0.03006
ADAMTSL4,0.02772
UBE3A,-0.00539
MYD88,0.00371
CUTA,0.02321
PRMT6,-0.01995
NLRC4,-0.00349
HIBADH,-0.0057
GCSAM,-0.00236
AGPAT3,0.00375
LYPD2,0.03274
WDR1,0.03672
PFN2,0.00581
P2RY10,0.01266
CFP,0.00302
ACOT9,-0.00664
DPPA4,-0.04337
TCTN1,-0.02426
CPNE8,0.02913
EDARADD,0.01319
RASSF4,0.00979
CCT7,-0.00742
LARP1B,-0.03385
CYB561A3,-0.01562
DHRS9,0.02001
JDP2,0.0305
SLC12A2,-0.02607
RNASE6,0.03505
OGFOD1,0.01184
LAG3,-0.02074
IL27RA,-0.02409
CYB561,0.0399
SPPL2A,-0.00684
SESTD1,0.05013
DHX15,-0.00932
TCEA2,-0.0009
ACTA2,-0.00445
ATOX1,0.02356
ABCA6,0.03134
CYP4F12,0.01837
ABR,0.01055
CBR3,0.01243
GOLGA8B,0.01292
USP3,0.03131
EIF2AK3,-0.02907
TCTA,0.03668
CXCR6,-0.03904
GLA,-0.00623
APRT,-0.01318
IDH1,0.02521
NGDN,-0.03508
NXT1,0.01316
DEDD,0.0302
CHORDC1,-0.03136
MEOX1,0.10588
SETBP1,0.02076
ECHDC2,0.00183
SMARCA1,-0.07409
SAMSN1,-0.00132
NCBP2,0.00283
ATP1B3,0.00337
PCMTD1,-0.03943
ZNF512,-0.0016
GRWD1,-0.01217
RRM1,-0.0011
PLIN2,0.0364
UBE2G2,0.00346
SNRPF,0.0082
RCN2,-0.01146
FCN1,-0.00295
GALC,0.02989
CTSL,0.02832
LEO1,-0.0261
AHSA1,-0.02998
RBFA,-0.04336
CLNS1A,0.00435
ZNF606,-0.02655
UBTF,-0.02806
PDS5A,-0.01126
